,,,,,Registration,Votes,
33420418,Tumwater 18,Congress 3,3,D,Brian Baird,4,
33422421,Tumwater 21,Congress 3,3,D,Brian Baird,90,
33435044,Steamboat Island,Congress 3,3,D,Brian Baird,234,
33435061,Belmore,Congress 3,3,D,Brian Baird,433,
33435086,Greenridge,Congress 3,3,D,Brian Baird,158,
33435094,Frye Cove,Congress 3,3,D,Brian Baird,321,
33435095,Oyster Bay,Congress 3,3,D,Brian Baird,291,
33435096,Summit Lake,Congress 3,3,D,Brian Baird,194,
33435099,Alpine,Congress 3,3,D,Brian Baird,440,
33435131,Hunter Point,Congress 3,3,D,Brian Baird,162,
33435132,Griffin,Congress 3,3,D,Brian Baird,251,
33435133,Schneiders Prairie,Congress 3,3,D,Brian Baird,192,
33435140,Mud Bay,Congress 3,3,D,Brian Baird,216,
33435141,McLane,Congress 3,3,D,Brian Baird,215,
33435144,Black Lake,Congress 3,3,D,Brian Baird,312,
33435173,Camelot,Congress 3,3,D,Brian Baird,154,
33435190,Lakeside,Congress 3,3,D,Brian Baird,136,
33435191,Gallagher Cove,Congress 3,3,D,Brian Baird,439,
93499999,Suppressed voters,Congress 3,3,D,Brian Baird,40,
THURSTON WA,THURSTON WA,Congress 3,3,D,Brian Baird,34310,
33402046,Lawrence Lake N,Congress 3,3,R,Michael Messmore,133,
33402060,Smith Prairie,Congress 3,3,R,Michael Messmore,153,
33402127,Ruth Prairie,Congress 3,3,R,Michael Messmore,67,
33402130,Bald Hills,Congress 3,3,R,Michael Messmore,310,
33420045,Rocky Prairie,Congress 3,3,R,Michael Messmore,114,
33420048,Michigan Hill,Congress 3,3,R,Michael Messmore,107,
33420049,Scott Lake S,Congress 3,3,R,Michael Messmore,102,
33420050,Salmon Creek,Congress 3,3,R,Michael Messmore,75,
33420051,Spurgeon Creek,Congress 3,3,R,Michael Messmore,174,
33420052,James,Congress 3,3,R,Michael Messmore,138,
33420053,Vail,Congress 3,3,R,Michael Messmore,155,
33420054,Rochester 5,Congress 3,3,R,Michael Messmore,164,
33420055,Rochester 4,Congress 3,3,R,Michael Messmore,127,
33420062,Black River,Congress 3,3,R,Michael Messmore,174,
33420077,Zenker Valley,Congress 3,3,R,Michael Messmore,39,
33420083,Prine,Congress 3,3,R,Michael Messmore,32,
33420089,Tilley,Congress 3,3,R,Michael Messmore,211,
33420097,Delridge,Congress 3,3,R,Michael Messmore,39,
33420100,Hewitt Lake,Congress 3,3,R,Michael Messmore,133,
33420120,Hays,Congress 3,3,R,Michael Messmore,86,
33420121,Indian Summer,Congress 3,3,R,Michael Messmore,248,
33420122,Chambers,Congress 3,3,R,Michael Messmore,298,
33402138,Lawrence Lake S,Congress 3,3,R,Michael Messmore,95,
33420145,Delphi,Congress 3,3,R,Michael Messmore,127,
33420146,S Union,Congress 3,3,R,Michael Messmore,195,
33420147,Plumb,Congress 3,3,R,Michael Messmore,158,
33420148,Scatter Creek,Congress 3,3,R,Michael Messmore,83,
33420149,McIntosh,Congress 3,3,R,Michael Messmore,179,
33420150,Violet Prairie,Congress 3,3,R,Michael Messmore,162,
33420151,Littlerock,Congress 3,3,R,Michael Messmore,222,
33420152,Gate,Congress 3,3,R,Michael Messmore,111,
33420153,Rochester 1,Congress 3,3,R,Michael Messmore,118,
33420154,Rochester 2,Congress 3,3,R,Michael Messmore,111,
33420155,Scott Lake N,Congress 3,3,R,Michael Messmore,69,
33420156,Grand Mound,Congress 3,3,R,Michael Messmore,72,
33420157,Gibson Valley,Congress 3,3,R,Michael Messmore,39,
33420158,Skookumchuck,Congress 3,3,R,Michael Messmore,156,
33420165,Sunwood Lakes,Congress 3,3,R,Michael Messmore,125,
33420166,Eaton Creek,Congress 3,3,R,Michael Messmore,85,
33420170,Rochester 3,Congress 3,3,R,Michael Messmore,120,
33420180,Stedman,Congress 3,3,R,Michael Messmore,114,
33420182,Munn Lake,Congress 3,3,R,Michael Messmore,253,
33420184,Scheller,Congress 3,3,R,Michael Messmore,58,
33420192,East Olympia,Congress 3,3,R,Michael Messmore,93,
33420198,Henness,Congress 3,3,R,Michael Messmore,220,
33420199,Beaver Creek,Congress 3,3,R,Michael Messmore,216,
33420423,Tumwater 23,Congress 3,3,R,Michael Messmore,7,
33435425,Tumwater 25,Congress 3,3,R,Michael Messmore,4,
33420501,Tenino 1,Congress 3,3,R,Michael Messmore,67,
33420502,Tenino 2,Congress 3,3,R,Michael Messmore,76,
33420801,Bucoda,Congress 3,3,R,Michael Messmore,56,
33422064,Airport,Congress 3,3,R,Michael Messmore,11,
33422069,Simmons 3,Congress 3,3,R,Michael Messmore,5,
33422070,Simmons 4,Congress 3,3,R,Michael Messmore,7,
33422084,Trosper Lake,Congress 3,3,R,Michael Messmore,16,
33422090,Sweet Briar,Congress 3,3,R,Michael Messmore,163,
33422108,Kirsop,Congress 3,3,R,Michael Messmore,77,
33422114,McKinley,Congress 3,3,R,Michael Messmore,28,
33422123,Freedom,Congress 3,3,R,Michael Messmore,170,
33422129,College,Congress 3,3,R,Michael Messmore,13,
33422134,Cooper Point,Congress 3,3,R,Michael Messmore,124,
33422135,Butler Cove,Congress 3,3,R,Michael Messmore,111,
33422136,Broadway,Congress 3,3,R,Michael Messmore,181,
33422139,Plainview,Congress 3,3,R,Michael Messmore,173,
33422143,Bush,Congress 3,3,R,Michael Messmore,33,
33422161,Wards,Congress 3,3,R,Michael Messmore,66,
33422163,Smith Lake,Congress 3,3,R,Michael Messmore,92,
33435164,Evergreen Shores,Congress 3,3,R,Michael Messmore,84,
33420171,Waddell Creek,Congress 3,3,R,Michael Messmore,106,
33422172,Tykle Cove,Congress 3,3,R,Michael Messmore,137,
33422174,French,Congress 3,3,R,Michael Messmore,107,
33422175,Sunset Beach,Congress 3,3,R,Michael Messmore,106,
33422177,Israel,Congress 3,3,R,Michael Messmore,3,
33422181,Glenwood,Congress 3,3,R,Michael Messmore,23,
33422186,Wilderness,Congress 3,3,R,Michael Messmore,160,
33422201,Olympia 1,Congress 3,3,R,Michael Messmore,33,
33422202,Olympia 2,Congress 3,3,R,Michael Messmore,81,
33422203,Olympia 3,Congress 3,3,R,Michael Messmore,54,
33422204,Olympia 4,Congress 3,3,R,Michael Messmore,86,
33422205,Olmypia 5,Congress 3,3,R,Michael Messmore,23,
33422206,Olympia 6,Congress 3,3,R,Michael Messmore,130,
33422207,Olympia 7,Congress 3,3,R,Michael Messmore,29,
33422208,Olympia 8,Congress 3,3,R,Michael Messmore,119,
33422209,Olympia 9,Congress 3,3,R,Michael Messmore,162,
33422210,Olympia 10,Congress 3,3,R,Michael Messmore,41,
33422211,Olympia 11,Congress 3,3,R,Michael Messmore,43,
33422212,Olympia 12,Congress 3,3,R,Michael Messmore,160,
33422213,Olympia 13,Congress 3,3,R,Michael Messmore,45,
33422214,Olympia 14,Congress 3,3,R,Michael Messmore,58,
33422215,Olympia 15,Congress 3,3,R,Michael Messmore,33,
33422216,Olympia 16,Congress 3,3,R,Michael Messmore,13,
33422218,Olympia 18,Congress 3,3,R,Michael Messmore,36,
33422219,Olympia 19,Congress 3,3,R,Michael Messmore,81,
33422220,Olympia 20,Congress 3,3,R,Michael Messmore,28,
33422224,Olympia 24,Congress 3,3,R,Michael Messmore,62,
33422225,Olympia 25,Congress 3,3,R,Michael Messmore,69,
33422226,Olympia 26,Congress 3,3,R,Michael Messmore,45,
33422227,Olympia 27,Congress 3,3,R,Michael Messmore,41,
33422228,Olympia 28,Congress 3,3,R,Michael Messmore,55,
33422229,Olympia 29,Congress 3,3,R,Michael Messmore,162,
33422230,Olympia 30,Congress 3,3,R,Michael Messmore,46,
33422231,Olympia 31,Congress 3,3,R,Michael Messmore,85,
33422232,Olympia 32,Congress 3,3,R,Michael Messmore,129,
33422235,Olympia 35,Congress 3,3,R,Michael Messmore,120,
33422236,Olympia 36,Congress 3,3,R,Michael Messmore,26,
33422237,Olympia 37,Congress 3,3,R,Michael Messmore,88,
33422238,Olympia 38,Congress 3,3,R,Michael Messmore,15,
33422239,Olympia 39,Congress 3,3,R,Michael Messmore,101,
33422240,Olympia 40,Congress 3,3,R,Michael Messmore,78,
33422241,Olympia 41,Congress 3,3,R,Michael Messmore,58,
33422242,Olympia 42,Congress 3,3,R,Michael Messmore,40,
33422243,Olympia 43,Congress 3,3,R,Michael Messmore,68,
33422244,Olympia 44,Congress 3,3,R,Michael Messmore,11,
33422247,Olympia 47,Congress 3,3,R,Michael Messmore,77,
33422248,Olympia 48,Congress 3,3,R,Michael Messmore,104,
33422249,Olympia 49,Congress 3,3,R,Michael Messmore,30,
33422250,Olympia 50,Congress 3,3,R,Michael Messmore,37,
33422251,Olympia 51,Congress 3,3,R,Michael Messmore,147,
33422252,Olympia 52,Congress 3,3,R,Michael Messmore,50,
33422254,Olympia 54,Congress 3,3,R,Michael Messmore,25,
33422312,Lacey 12,Congress 3,3,R,Michael Messmore,15,
33422322,Lacey 22,Congress 3,3,R,Michael Messmore,242,
33422336,Lacey 36,Congress 3,3,R,Michael Messmore,43,
33422337,Lacey 37,Congress 3,3,R,Michael Messmore,28,
33422401,Tumwater 1,Congress 3,3,R,Michael Messmore,120,
33422402,Tumwater 2,Congress 3,3,R,Michael Messmore,69,
33422403,Tumwater 3,Congress 3,3,R,Michael Messmore,63,
33422404,Tumwater 4,Congress 3,3,R,Michael Messmore,63,
33422405,Tumwater 5,Congress 3,3,R,Michael Messmore,66,
33422406,Tumwater 6,Congress 3,3,R,Michael Messmore,104,
33422407,Tumwater 7,Congress 3,3,R,Michael Messmore,87,
33422408,Tumwater 8,Congress 3,3,R,Michael Messmore,94,
33422409,Tumwater 9,Congress 3,3,R,Michael Messmore,65,
33422410,Tumwater 10,Congress 3,3,R,Michael Messmore,120,
33422411,Tumwater 11,Congress 3,3,R,Michael Messmore,110,
33422412,Tumwater 12,Congress 3,3,R,Michael Messmore,79,
33422413,Tumwater 13,Congress 3,3,R,Michael Messmore,41,
33422414,Tumwater 14,Congress 3,3,R,Michael Messmore,40,
33422415,Tumwater 15,Congress 3,3,R,Michael Messmore,101,
33420418,Tumwater 18,Congress 3,3,R,Michael Messmore,5,
33422421,Tumwater 21,Congress 3,3,R,Michael Messmore,47,
33435044,Steamboat Island,Congress 3,3,R,Michael Messmore,71,
33435061,Belmore,Congress 3,3,R,Michael Messmore,233,
33435086,Greenridge,Congress 3,3,R,Michael Messmore,63,
33435094,Frye Cove,Congress 3,3,R,Michael Messmore,103,
33435095,Oyster Bay,Congress 3,3,R,Michael Messmore,127,
33435096,Summit Lake,Congress 3,3,R,Michael Messmore,119,
33435099,Alpine,Congress 3,3,R,Michael Messmore,184,
33435131,Hunter Point,Congress 3,3,R,Michael Messmore,77,
33435132,Griffin,Congress 3,3,R,Michael Messmore,103,
33435133,Schneiders Prairie,Congress 3,3,R,Michael Messmore,104,
33435140,Mud Bay,Congress 3,3,R,Michael Messmore,93,
33435141,McLane,Congress 3,3,R,Michael Messmore,80,
33435144,Black Lake,Congress 3,3,R,Michael Messmore,175,
33435173,Camelot,Congress 3,3,R,Michael Messmore,105,
33435190,Lakeside,Congress 3,3,R,Michael Messmore,74,
33435191,Gallagher Cove,Congress 3,3,R,Michael Messmore,188,
93499999,Suppressed voters,Congress 3,3,R,Michael Messmore,17,
THURSTON WA,THURSTON WA,Congress 3,3,R,Michael Messmore,15008,
33402046,Lawrence Lake N,Congress 3,,,write-in,0,
33402060,Smith Prairie,Congress 3,,,write-in,0,
33402127,Ruth Prairie,Congress 3,,,write-in,0,
33402130,Bald Hills,Congress 3,,,write-in,1,
33420045,Rocky Prairie,Congress 3,,,write-in,0,
33420048,Michigan Hill,Congress 3,,,write-in,0,
33420049,Scott Lake S,Congress 3,,,write-in,0,
33420050,Salmon Creek,Congress 3,,,write-in,0,
33420051,Spurgeon Creek,Congress 3,,,write-in,0,
33420052,James,Congress 3,,,write-in,0,
33420053,Vail,Congress 3,,,write-in,1,
33420054,Rochester 5,Congress 3,,,write-in,2,
33420055,Rochester 4,Congress 3,,,write-in,3,
33420062,Black River,Congress 3,,,write-in,0,
33420077,Zenker Valley,Congress 3,,,write-in,0,
33420083,Prine,Congress 3,,,write-in,0,
33420089,Tilley,Congress 3,,,write-in,0,
33420097,Delridge,Congress 3,,,write-in,0,
33420100,Hewitt Lake,Congress 3,,,write-in,2,
33420120,Hays,Congress 3,,,write-in,0,
33420121,Indian Summer,Congress 3,,,write-in,1,
33420122,Chambers,Congress 3,,,write-in,5,
33402138,Lawrence Lake S,Congress 3,,,write-in,0,
33420145,Delphi,Congress 3,,,write-in,1,
33420146,S Union,Congress 3,,,write-in,0,
33420147,Plumb,Congress 3,,,write-in,0,
33420148,Scatter Creek,Congress 3,,,write-in,0,
33420149,McIntosh,Congress 3,,,write-in,2,
33420150,Violet Prairie,Congress 3,,,write-in,0,
33420151,Littlerock,Congress 3,,,write-in,0,
33420152,Gate,Congress 3,,,write-in,1,
33420153,Rochester 1,Congress 3,,,write-in,0,
33420154,Rochester 2,Congress 3,,,write-in,1,
33420155,Scott Lake N,Congress 3,,,write-in,0,
33420156,Grand Mound,Congress 3,,,write-in,1,
33420157,Gibson Valley,Congress 3,,,write-in,0,
33420158,Skookumchuck,Congress 3,,,write-in,1,
33420165,Sunwood Lakes,Congress 3,,,write-in,1,
33420166,Eaton Creek,Congress 3,,,write-in,0,
33420170,Rochester 3,Congress 3,,,write-in,1,
33420180,Stedman,Congress 3,,,write-in,1,
33420182,Munn Lake,Congress 3,,,write-in,0,
33420184,Scheller,Congress 3,,,write-in,0,
33420192,East Olympia,Congress 3,,,write-in,0,
33420198,Henness,Congress 3,,,write-in,2,
33420199,Beaver Creek,Congress 3,,,write-in,0,
33420423,Tumwater 23,Congress 3,,,write-in,0,
33435425,Tumwater 25,Congress 3,,,write-in,0,
33420501,Tenino 1,Congress 3,,,write-in,0,
33420502,Tenino 2,Congress 3,,,write-in,0,
33420801,Bucoda,Congress 3,,,write-in,0,
33422064,Airport,Congress 3,,,write-in,0,
33422069,Simmons 3,Congress 3,,,write-in,0,
33422070,Simmons 4,Congress 3,,,write-in,0,
33422084,Trosper Lake,Congress 3,,,write-in,0,
33422090,Sweet Briar,Congress 3,,,write-in,0,
33422108,Kirsop,Congress 3,,,write-in,0,
33422114,McKinley,Congress 3,,,write-in,0,
33422123,Freedom,Congress 3,,,write-in,0,
33422129,College,Congress 3,,,write-in,10,
33422134,Cooper Point,Congress 3,,,write-in,1,
33422135,Butler Cove,Congress 3,,,write-in,2,
33422136,Broadway,Congress 3,,,write-in,2,
33422139,Plainview,Congress 3,,,write-in,7,
33422143,Bush,Congress 3,,,write-in,0,
33422161,Wards,Congress 3,,,write-in,1,
33422163,Smith Lake,Congress 3,,,write-in,5,
33435164,Evergreen Shores,Congress 3,,,write-in,0,
33420171,Waddell Creek,Congress 3,,,write-in,0,
33422172,Tykle Cove,Congress 3,,,write-in,3,
33422174,French,Congress 3,,,write-in,3,
33422175,Sunset Beach,Congress 3,,,write-in,0,
33422177,Israel,Congress 3,,,write-in,0,
33422181,Glenwood,Congress 3,,,write-in,0,
33422186,Wilderness,Congress 3,,,write-in,0,
33422201,Olympia 1,Congress 3,,,write-in,2,
33422202,Olympia 2,Congress 3,,,write-in,3,
33422203,Olympia 3,Congress 3,,,write-in,4,
33422204,Olympia 4,Congress 3,,,write-in,5,
33422205,Olmypia 5,Congress 3,,,write-in,7,
33422206,Olympia 6,Congress 3,,,write-in,1,
33422207,Olympia 7,Congress 3,,,write-in,3,
33422208,Olympia 8,Congress 3,,,write-in,0,
33422209,Olympia 9,Congress 3,,,write-in,3,
33422210,Olympia 10,Congress 3,,,write-in,3,
33422211,Olympia 11,Congress 3,,,write-in,1,
33422212,Olympia 12,Congress 3,,,write-in,2,
33422213,Olympia 13,Congress 3,,,write-in,4,
33422214,Olympia 14,Congress 3,,,write-in,1,
33422215,Olympia 15,Congress 3,,,write-in,2,
33422216,Olympia 16,Congress 3,,,write-in,0,
33422218,Olympia 18,Congress 3,,,write-in,9,
33422219,Olympia 19,Congress 3,,,write-in,3,
33422220,Olympia 20,Congress 3,,,write-in,2,
33422224,Olympia 24,Congress 3,,,write-in,0,
33422225,Olympia 25,Congress 3,,,write-in,1,
33422226,Olympia 26,Congress 3,,,write-in,5,
33422227,Olympia 27,Congress 3,,,write-in,0,
33422228,Olympia 28,Congress 3,,,write-in,7,
33422229,Olympia 29,Congress 3,,,write-in,0,
33422230,Olympia 30,Congress 3,,,write-in,5,
33422231,Olympia 31,Congress 3,,,write-in,1,
33422232,Olympia 32,Congress 3,,,write-in,1,
33422235,Olympia 35,Congress 3,,,write-in,0,
33422236,Olympia 36,Congress 3,,,write-in,0,
33422237,Olympia 37,Congress 3,,,write-in,3,
33422238,Olympia 38,Congress 3,,,write-in,0,
33422239,Olympia 39,Congress 3,,,write-in,2,
33422240,Olympia 40,Congress 3,,,write-in,0,
33422241,Olympia 41,Congress 3,,,write-in,1,
33422242,Olympia 42,Congress 3,,,write-in,1,
33422243,Olympia 43,Congress 3,,,write-in,3,
33422244,Olympia 44,Congress 3,,,write-in,3,
33422247,Olympia 47,Congress 3,,,write-in,0,
33422248,Olympia 48,Congress 3,,,write-in,1,
33422249,Olympia 49,Congress 3,,,write-in,3,
33422250,Olympia 50,Congress 3,,,write-in,3,
33422251,Olympia 51,Congress 3,,,write-in,1,
33422252,Olympia 52,Congress 3,,,write-in,3,
33422254,Olympia 54,Congress 3,,,write-in,9,
33422312,Lacey 12,Congress 3,,,write-in,0,
33422322,Lacey 22,Congress 3,,,write-in,3,
33422336,Lacey 36,Congress 3,,,write-in,2,
33422337,Lacey 37,Congress 3,,,write-in,0,
33422401,Tumwater 1,Congress 3,,,write-in,2,
33422402,Tumwater 2,Congress 3,,,write-in,1,
33422403,Tumwater 3,Congress 3,,,write-in,2,
33422404,Tumwater 4,Congress 3,,,write-in,1,
33422405,Tumwater 5,Congress 3,,,write-in,2,
33422406,Tumwater 6,Congress 3,,,write-in,3,
33422407,Tumwater 7,Congress 3,,,write-in,0,
33422408,Tumwater 8,Congress 3,,,write-in,1,
33422409,Tumwater 9,Congress 3,,,write-in,0,
33422410,Tumwater 10,Congress 3,,,write-in,0,
33422411,Tumwater 11,Congress 3,,,write-in,0,
33422412,Tumwater 12,Congress 3,,,write-in,0,
33422413,Tumwater 13,Congress 3,,,write-in,0,
33422414,Tumwater 14,Congress 3,,,write-in,0,
33422415,Tumwater 15,Congress 3,,,write-in,0,
33420418,Tumwater 18,Congress 3,,,write-in,0,
33422421,Tumwater 21,Congress 3,,,write-in,0,
33435044,Steamboat Island,Congress 3,,,write-in,0,
33435061,Belmore,Congress 3,,,write-in,2,
33435086,Greenridge,Congress 3,,,write-in,0,
33435094,Frye Cove,Congress 3,,,write-in,1,
33435095,Oyster Bay,Congress 3,,,write-in,2,
33435096,Summit Lake,Congress 3,,,write-in,4,
33435099,Alpine,Congress 3,,,write-in,0,
33435131,Hunter Point,Congress 3,,,write-in,0,
33435132,Griffin,Congress 3,,,write-in,1,
33435133,Schneiders Prairie,Congress 3,,,write-in,4,
33435140,Mud Bay,Congress 3,,,write-in,0,
33435141,McLane,Congress 3,,,write-in,0,
33435144,Black Lake,Congress 3,,,write-in,0,
33435173,Camelot,Congress 3,,,write-in,0,
33435190,Lakeside,Congress 3,,,write-in,1,
33435191,Gallagher Cove,Congress 3,,,write-in,2,
93499999,Suppressed voters,Congress 3,,,write-in,0,
THURSTON WA,THURSTON WA,Congress 3,,,write-in,203,
93402057,Medicine Creek,Congress 9,9,D,Adam Smith,88,
93402059,Pleasant Hill,Congress 9,9,D,Adam Smith,248,
93402074,Pines,Congress 9,9,D,Adam Smith,212,
93402091,Deerbrush,Congress 9,9,D,Adam Smith,258,
93402111,Nisqually,Congress 9,9,D,Adam Smith,174,
93402124,Fristoe,Congress 9,9,D,Adam Smith,136,
93402125,Deschutes,Congress 9,9,D,Adam Smith,238,
93402126,Longmire,Congress 9,9,D,Adam Smith,148,
93402128,Weir Prairie,Congress 9,9,D,Adam Smith,288,
93402169,McAllister Creek,Congress 9,9,D,Adam Smith,196,
93402179,Four Corners,Congress 9,9,D,Adam Smith,443,
93402193,Berry Valley,Congress 9,9,D,Adam Smith,168,
93402601,Rainier 1,Congress 9,9,D,Adam Smith,133,
93402602,Rainier 2,Congress 9,9,D,Adam Smith,124,
93402701,Yelm 1,Congress 9,9,D,Adam Smith,303,
93402702,Yelm 2,Congress 9,9,D,Adam Smith,295,
93420043,University N,Congress 9,9,D,Adam Smith,94,
93420078,Tri Lakes,Congress 9,9,D,Adam Smith,111,
93420079,University S,Congress 9,9,D,Adam Smith,151,
93420081,Military,Congress 9,9,D,Adam Smith,42,
93420092,Mushroom Corner,Congress 9,9,D,Adam Smith,291,
93420093,Traiblazer,Congress 9,9,D,Adam Smith,107,
93420098,Marvin,Congress 9,9,D,Adam Smith,296,
93420115,Forest,Congress 9,9,D,Adam Smith,359,
93420116,St Clair,Congress 9,9,D,Adam Smith,227,
93420118,Fleetwood,Congress 9,9,D,Adam Smith,380,
93420119,Lydia Hawk,Congress 9,9,D,Adam Smith,321,
93420167,Hawks Ridge,Congress 9,9,D,Adam Smith,113,
93420185,Fair Oaks,Congress 9,9,D,Adam Smith,172,
93420194,Hartwood,Congress 9,9,D,Adam Smith,350,
93420196,Meadows,Congress 9,9,D,Adam Smith,194,
93420197,Summerset,Congress 9,9,D,Adam Smith,366,
93422039,Jones Beach,Congress 9,9,D,Adam Smith,143,
93422047,Woodard Creek,Congress 9,9,D,Adam Smith,225,
93422058,Skokomish,Congress 9,9,D,Adam Smith,123,
93422063,Ames,Congress 9,9,D,Adam Smith,241,
93422065,Luhr Beach,Congress 9,9,D,Adam Smith,255,
93422066,Fish Trap,Congress 9,9,D,Adam Smith,189,
93422075,Long Lake,Congress 9,9,D,Adam Smith,59,
93422076,Hawk Acres,Congress 9,9,D,Adam Smith,143,
93422080,Tolmie,Congress 9,9,D,Adam Smith,104,
93422082,Glen Terra,Congress 9,9,D,Adam Smith,98,
93422088,Woodland,Congress 9,9,D,Adam Smith,235,
93422101,Zangle,Congress 9,9,D,Adam Smith,246,
93422102,Boston Harbor,Congress 9,9,D,Adam Smith,342,
93422103,Gull Harbor,Congress 9,9,D,Adam Smith,224,
93422104,Friendly Grove,Congress 9,9,D,Adam Smith,159,
93422105,South Bay,Congress 9,9,D,Adam Smith,282,
93422106,Puget,Congress 9,9,D,Adam Smith,240,
93422107,Bigelow,Congress 9,9,D,Adam Smith,230,
93422109,Pleasant Glade,Congress 9,9,D,Adam Smith,148,
93422110,Montgomery,Congress 9,9,D,Adam Smith,130,
93422112,Roosevelt,Congress 9,9,D,Adam Smith,214,
93422113,Kinwood,Congress 9,9,D,Adam Smith,301,
93422117,Hicks,Congress 9,9,D,Adam Smith,40,
93422159,Meridian,Congress 9,9,D,Adam Smith,105,
93422160,Johnson Point,Congress 9,9,D,Adam Smith,294,
93422162,Thompson,Congress 9,9,D,Adam Smith,177,
93422168,Holmes,Congress 9,9,D,Adam Smith,245,
93422176,Henderson,Congress 9,9,D,Adam Smith,322,
93422178,Pattison,Congress 9,9,D,Adam Smith,264,
93422183,Beach Crest,Congress 9,9,D,Adam Smith,202,
93420187,Mullen,Congress 9,9,D,Adam Smith,197,
93422189,Sleater Kinney,Congress 9,9,D,Adam Smith,204,
93422195,Libby,Congress 9,9,D,Adam Smith,256,
93422217,Olympia 17,Congress 9,9,D,Adam Smith,170,
93422221,Olympia 21,Congress 9,9,D,Adam Smith,509,
93422223,Olympia 23,Congress 9,9,D,Adam Smith,443,
93422245,Olympia 45,Congress 9,9,D,Adam Smith,147,
93422246,Olympia 46,Congress 9,9,D,Adam Smith,398,
93422253,Olympia 53,Congress 9,9,D,Adam Smith,205,
93422301,Lacey 1,Congress 9,9,D,Adam Smith,84,
93422302,Lacey 2,Congress 9,9,D,Adam Smith,157,
93422303,Lacey 3,Congress 9,9,D,Adam Smith,215,
93422304,Lacey 4,Congress 9,9,D,Adam Smith,121,
93422305,Lacey 5,Congress 9,9,D,Adam Smith,169,
93422306,Lacey 6,Congress 9,9,D,Adam Smith,92,
93422307,Lacey 7,Congress 9,9,D,Adam Smith,192,
93422308,Lacey 8,Congress 9,9,D,Adam Smith,110,
93422309,Lacey 9,Congress 9,9,D,Adam Smith,113,
93422310,Lacey 10,Congress 9,9,D,Adam Smith,274,
93422311,Lacey 11,Congress 9,9,D,Adam Smith,183,
93422313,Lacey 13,Congress 9,9,D,Adam Smith,119,
93422314,Lacey 14,Congress 9,9,D,Adam Smith,103,
93422315,Lacey 15,Congress 9,9,D,Adam Smith,208,
93422316,Lacey 16,Congress 9,9,D,Adam Smith,228,
93422317,Lacey 17,Congress 9,9,D,Adam Smith,175,
93422318,Lacey 18,Congress 9,9,D,Adam Smith,225,
93422319,Lacey 19,Congress 9,9,D,Adam Smith,149,
93422320,Lacey 20,Congress 9,9,D,Adam Smith,100,
93422321,Lacey 21,Congress 9,9,D,Adam Smith,128,
93422323,Lacey 23,Congress 9,9,D,Adam Smith,94,
93422324,Lacey 24,Congress 9,9,D,Adam Smith,718,
93422327,Lacey 27,Congress 9,9,D,Adam Smith,217,
93422328,Lacey 28,Congress 9,9,D,Adam Smith,130,
93422329,Lacey 29,Congress 9,9,D,Adam Smith,240,
93422330,Lacey 30,Congress 9,9,D,Adam Smith,282,
93422331,Lacey 31,Congress 9,9,D,Adam Smith,354,
93422332,Lacey 32,Congress 9,9,D,Adam Smith,253,
93422333,Lacey 33,Congress 9,9,D,Adam Smith,144,
93422334,Lacey 34,Congress 9,9,D,Adam Smith,121,
93422335,Lacey 35,Congress 9,9,D,Adam Smith,107,
THURSTON WA,THURSTON WA,Congress 9,9,D,Adam Smith,21340,
93402057,Medicine Creek,Congress 9,9,R,Stephen Cofchin,75,
93402059,Pleasant Hill,Congress 9,9,R,Stephen Cofchin,165,
93402074,Pines,Congress 9,9,R,Stephen Cofchin,101,
93402091,Deerbrush,Congress 9,9,R,Stephen Cofchin,182,
93402111,Nisqually,Congress 9,9,R,Stephen Cofchin,86,
93402124,Fristoe,Congress 9,9,R,Stephen Cofchin,100,
93402125,Deschutes,Congress 9,9,R,Stephen Cofchin,128,
93402126,Longmire,Congress 9,9,R,Stephen Cofchin,86,
93402128,Weir Prairie,Congress 9,9,R,Stephen Cofchin,190,
93402169,McAllister Creek,Congress 9,9,R,Stephen Cofchin,118,
93402179,Four Corners,Congress 9,9,R,Stephen Cofchin,254,
93402193,Berry Valley,Congress 9,9,R,Stephen Cofchin,110,
93402601,Rainier 1,Congress 9,9,R,Stephen Cofchin,81,
93402602,Rainier 2,Congress 9,9,R,Stephen Cofchin,74,
93402701,Yelm 1,Congress 9,9,R,Stephen Cofchin,193,
93402702,Yelm 2,Congress 9,9,R,Stephen Cofchin,227,
93420043,University N,Congress 9,9,R,Stephen Cofchin,82,
93420078,Tri Lakes,Congress 9,9,R,Stephen Cofchin,95,
93420079,University S,Congress 9,9,R,Stephen Cofchin,84,
93420081,Military,Congress 9,9,R,Stephen Cofchin,33,
93420092,Mushroom Corner,Congress 9,9,R,Stephen Cofchin,170,
93420093,Traiblazer,Congress 9,9,R,Stephen Cofchin,35,
93420098,Marvin,Congress 9,9,R,Stephen Cofchin,173,
93420115,Forest,Congress 9,9,R,Stephen Cofchin,184,
93420116,St Clair,Congress 9,9,R,Stephen Cofchin,139,
93420118,Fleetwood,Congress 9,9,R,Stephen Cofchin,203,
93420119,Lydia Hawk,Congress 9,9,R,Stephen Cofchin,171,
93420167,Hawks Ridge,Congress 9,9,R,Stephen Cofchin,54,
93420185,Fair Oaks,Congress 9,9,R,Stephen Cofchin,84,
93420194,Hartwood,Congress 9,9,R,Stephen Cofchin,229,
