Number,Precinct,Office,District,Party,Candidate,Votes
323,Schrag,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,6
324,Hatton Rural,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,1
325,Cunningham,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,2
516,Othello Rural #6,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,21
111,Ritzville Ward #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,89
112,Ritzville Ward #2,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,94
113,Ritzville Ward #3,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,115
114,Ritzville Ward #4,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,132
115,Ritzville Ward #5,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,123
121,Ritzville Rural NW,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,126
122,Ritzville Rural SE,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,109
123,Batum,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,69
211,Benge,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,29
212,Washtucna City #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,76
221,Washtucna Rural,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,60
222,Ralston,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,31
311,Lind #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,175
313,Hatton City,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,16
321,Lind Rural,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,61
322,Fairview,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,28
323,Schrag,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,55
324,Hatton Rural,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,37
325,Cunningham,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,15
411,Othello City #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,27
412,Othello City #2,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,161
413,Othello City #3,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,153
414,Othello City #4,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,188
415,Othello City #5,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,220
416,Othello City #6,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,38
511,Othello Rural #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,56
512,Othello Rural #2,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,98
513,Othello Rural #3,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,184
514,Othello Rural #4,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,115
515,Othello Rural #5,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,146
516,Othello Rural #6,LEGISLATIVE DISTRICT 9 State Representative Pos. 1,9,R,Susan Fagan,196
111,Ritzville Ward #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,85
112,Ritzville Ward #2,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,87
113,Ritzville Ward #3,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,120
114,Ritzville Ward #4,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,144
115,Ritzville Ward #5,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,132
121,Ritzville Rural NW,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,128
122,Ritzville Rural SE,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,110
123,Batum,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,54
211,Benge,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,27
212,Washtucna City #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,67
221,Washtucna Rural,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,49
222,Ralston,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,28
311,Lind #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,166
313,Hatton City,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,11
321,Lind Rural,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,63
322,Fairview,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,26
323,Schrag,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,39
324,Hatton Rural,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,36
325,Cunningham,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,12
411,Othello City #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,26
412,Othello City #2,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,133
413,Othello City #3,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,129
414,Othello City #4,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,162
415,Othello City #5,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,185
416,Othello City #6,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,24
511,Othello Rural #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,47
512,Othello Rural #2,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,65
513,Othello Rural #3,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,149
514,Othello Rural #4,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,104
515,Othello Rural #5,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,138
516,Othello Rural #6,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Joe Schmick,159
111,Ritzville Ward #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,31
112,Ritzville Ward #2,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,19
113,Ritzville Ward #3,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,15
114,Ritzville Ward #4,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,20
115,Ritzville Ward #5,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,14
121,Ritzville Rural NW,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,21
122,Ritzville Rural SE,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,23
123,Batum,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,22
211,Benge,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,4
212,Washtucna City #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,15
221,Washtucna Rural,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,11
222,Ralston,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,4
311,Lind #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,47
313,Hatton City,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,7
321,Lind Rural,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,14
322,Fairview,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,6
323,Schrag,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,18
324,Hatton Rural,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,3
325,Cunningham,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,4
411,Othello City #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,2
412,Othello City #2,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,48
413,Othello City #3,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,43
414,Othello City #4,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,44
415,Othello City #5,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,59
416,Othello City #6,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,13
511,Othello Rural #1,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,14
512,Othello Rural #2,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,31
513,Othello Rural #3,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,46
514,Othello Rural #4,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,25
515,Othello Rural #5,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,36
516,Othello Rural #6,LEGISLATIVE DISTRICT 9 State Representative Pos. 2,9,R,Glen R. Stockwell,41
111,Ritzville Ward #1,,,,Registered,175
112,Ritzville Ward #2,,,,Registered,163
113,Ritzville Ward #3,,,,Registered,214
114,Ritzville Ward #4,,,,Registered,240
115,Ritzville Ward #5,,,,Registered,208
121,Ritzville Rural NW,,,,Registered,192
122,Ritzville Rural SE,,,,Registered,175
123,Batum,,,,Registered,131
211,Benge,,,,Registered,48
212,Washtucna City #1,,,,Registered,136
221,Washtucna Rural,,,,Registered,88
222,Ralston,,,,Registered,42
311,Lind #1,,,,Registered,323
313,Hatton City,,,,Registered,29
321,Lind Rural,,,,Registered,100
322,Fairview,,,,Registered,41
323,Schrag,,,,Registered,78
324,Hatton Rural,,,,Registered,47
325,Cunningham,,,,Registered,25
411,Othello City #1,,,,Registered,55
412,Othello City #2,,,,Registered,430
413,Othello City #3,,,,Registered,408
414,Othello City #4,,,,Registered,331
415,Othello City #5,,,,Registered,457
416,Othello City #6,,,,Registered,92
511,Othello Rural #1,,,,Registered,263
512,Othello Rural #2,,,,Registered,247
513,Othello Rural #3,,,,Registered,362
514,Othello Rural #4,,,,Registered,228
515,Othello Rural #5,,,,Registered,336
516,Othello Rural #6,,,,Registered,334
111,Ritzville Ward #1,,,,Ballots Cast,130
112,Ritzville Ward #2,,,,Ballots Cast,116
113,Ritzville Ward #3,,,,Ballots Cast,153
114,Ritzville Ward #4,,,,Ballots Cast,187
115,Ritzville Ward #5,,,,Ballots Cast,157
121,Ritzville Rural NW,,,,Ballots Cast,156
122,Ritzville Rural SE,,,,Ballots Cast,144
123,Batum,,,,Ballots Cast,94
211,Benge,,,,Ballots Cast,34
212,Washtucna City #1,,,,Ballots Cast,92
221,Washtucna Rural,,,,Ballots Cast,73
222,Ralston,,,,Ballots Cast,36
311,Lind #1,,,,Ballots Cast,244
313,Hatton City,,,,Ballots Cast,19
321,Lind Rural,,,,Ballots Cast,84
322,Fairview,,,,Ballots Cast,36
323,Schrag,,,,Ballots Cast,64
324,Hatton Rural,,,,Ballots Cast,41
325,Cunningham,,,,Ballots Cast,18
411,Othello City #1,,,,Ballots Cast,36
412,Othello City #2,,,,Ballots Cast,222
413,Othello City #3,,,,Ballots Cast,213
414,Othello City #4,,,,Ballots Cast,244
415,Othello City #5,,,,Ballots Cast,284
416,Othello City #6,,,,Ballots Cast,43
511,Othello Rural #1,,,,Ballots Cast,73
512,Othello Rural #2,,,,Ballots Cast,121
513,Othello Rural #3,,,,Ballots Cast,231
514,Othello Rural #4,,,,Ballots Cast,139
515,Othello Rural #5,,,,Ballots Cast,202
516,Othello Rural #6,,,,Ballots Cast,239
